time,open,high,low,close,volume
2025-02-14,1.04636,1.05144,1.04474,1.04911,59415
2025-02-17,1.04843,1.05065,1.04672,1.04831,39784
2025-02-18,1.04836,1.04863,1.04352,1.04454,52232
2025-02-19,1.04454,1.04614,1.04009,1.04219,55827
2025-02-20,1.04225,1.05035,1.04168,1.05012,54012
2025-02-21,1.05008,1.05057,1.04494,1.04572,56029
2025-02-24,1.04693,1.05283,1.04528,1.04677,66806
2025-02-25,1.04673,1.05193,1.04564,1.05148,63446
2025-02-26,1.0513,1.05288,1.04751,1.04848,64606
2025-02-27,1.04841,1.04926,1.03965,1.03979,65326
2025-02-28,1.03976,1.042,1.036,1.03739,68496
2025-03-03,1.03925,1.05038,1.03887,1.04878,74259
2025-03-04,1.0486,1.0627,1.04712,1.06251,92442
2025-03-05,1.06253,1.07968,1.06021,1.07892,103840
2025-03-06,1.07866,1.08534,1.07656,1.0783800000000001,98075
2025-03-07,1.07823,1.08889,1.07789,1.08321,87926
2025-03-10,1.08325,1.08747,1.0805,1.08354,78761
2025-03-11,1.0833,1.09474,1.0826,1.09193,79089
2025-03-12,1.0918,1.09301,1.08757,1.08871,76157
2025-03-13,1.0887,1.08973,1.08225,1.08514,70138
2025-03-14,1.08503,1.09128,1.08307,1.08802,69117
2025-03-17,1.08771,1.09297,1.08686,1.09214,55379
2025-03-18,1.09218,1.09547,1.08925,1.09447,53690
2025-03-19,1.09439,1.09461,1.08606,1.09025,57850
2025-03-20,1.0901,1.09176,1.08147,1.08533,55493
2025-03-21,1.08494,1.08613,1.07973,1.08124,50945
2025-03-24,1.08127,1.08584,1.07817,1.08008,57933
2025-03-25,1.08003,1.08302,1.07771,1.07913,53102
2025-03-26,1.07901,1.08028,1.07435,1.07525,57744
2025-03-27,1.07539,1.08212,1.0733,1.08018,59158
2025-03-28,1.08011,1.08448,1.07645,1.08306,51264
2025-03-31,1.08225,1.08494,1.0784,1.08149,58785
2025-04-01,1.08152,1.08301,1.07783,1.07924,58897
2025-04-02,1.07933,1.09241,1.07802,1.08603,63074
2025-04-03,1.0851,1.11459,1.08052,1.10511,125004
2025-04-04,1.10518,1.11078,1.09246,1.09636,153137
2025-04-07,1.08936,1.105,1.088,1.09053,166294
2025-04-08,1.09066,1.09918,1.08883,1.09578,119704
2025-04-09,1.09527,1.10951,1.09132,1.09474,170639
2025-04-10,1.09483,1.12416,1.09429,1.1201699999999999,134818
2025-04-11,1.11929,1.14736,1.11818,1.13552,166942
2025-04-14,1.1314,1.14246,1.1296,1.13496,108450
2025-04-15,1.135,1.13789,1.12642,1.12813,86595
2025-04-16,1.12781,1.13921,1.12781,1.13676,43277
